Chloropteryx opalaria
Chloropteryx nordicaria
Chloropteryx languescens
Chloropteryx dealbata
Sabulodes setosa
Nemoria aturia
Nemoria carolinae
Synchlora frondaria
Synchlora expulsata
Synchlora dependens
Synchlora decorata
Synchlora cupedinaria
Synchlora concinnaria
Synchlora astraeoides
Thrasychlora minor
Tachychlora flavidisca
Tachychlora amilletes
Rhodochlora rothschildi
Rhodochlora exquisita
Rhodochlora brunneipalpis
Pyrochlora rhanis
Pyrochlora motilonia
Phrudocentra vivida
Phrudocentra trimaculata
Phrudocentra pupillata
Phrudocentra opaca
Synchlora gerularia
Phrudocentra neis
Synchlora indecora
Synchlora pulchrifimbria
Eois cassandra
Eois carnana
Eois cancellata
Eois camptographata
Eois burla
Eois brunneicosta
Eois borrata
Eois binaria
Eois basaliata
Eois azafranata
Eois apyraria
Eois antiopata
Eois amarillada
Trotocalpe albilunata
Rhopalodes uniformis
Rhinura populonia
Oligopleura malachitaria
Oligopleura aulaeata
Synchlora tenuimargo
Synchlora magnaria
Nemoria callirrhoe
Phrudocentra mitigata
Phrudocentra assa
Nemoria marielosae
Nemoria marianellae
Nemoria karlae
Nemoria isabelae
Nemoria interlucens
Nemoria hazelae
Nemoria gladysae
Nemoria gerardinae
Nemoria franciscae
Nemoria florae
Nemoria eugeniae
Nemoria erina
Nemoria epaphras
Nemoria elbae
Nemoria duniae
Nemoria dorsilinea
Nemoria dentilinea
Nemoria defectiva
Nemoria cosmeta
Nemoria nympharia
Phrudocentra janeira
Nemoria ozalea
Nemoria parcipuncta
Phrudocentra albicoronata
Phrudocentra albiceps
Nemoria winniae
Nemoria vinocincta
Nemoria vermiculata
Nemoria venezuelae
Nemoria tutala
Nemoria toxeres
Nemoria tickelli
Nemoria strigaria
Nemoria scriptaria
Nemoria saryae
Nemoria sarukhani
Nemoria rosae
Nemoria remota
Nemoria rectilinea
Nemoria punctilinea
Nemoria priscillae
Nemoria pescadora
Nemoria pacificaria
Eois catana
Sabulodes plauta
Sabulodes nubifera
Phyle schausaria
Phyle cartago
Phyle aspilotos
Phyle antioquia
Parallage diaphanata
Oxydia vesulia
Oxydia trychiata
Oxydia translinquens
Oxydia subdentilinea
Oxydia sociata
Oxydia platypterata
Oxydia peosinata
Oxydia obtusaria
Oxydia mexicata
Oxydia masthala
Oxydia insolita
Oxydia geminata
Oxydia bilinea
Oxydia augusta
Psilosetia pura
Oxydia apidania
Sicya aurunca
Sicya medangula
Opisthoxia molpadia
Opisthoxia miletia
Opisthoxia metargyria
Opisthoxia laticlava
Opisthoxia hybridata
Opisthoxia formosante
Opisthoxia corinnoides
Opisthoxia cluana
Opisthoxia bolivari
Opisthoxia bella
Opisthoxia asopis
Opisthoxia amabilis
Argyrotome prospectata
Argyrotome melae
Argyrotome alba
Urepione quadrilineata
Tmetomorpha bitias
Simena luctifera
Sicya pomona
Sicya inquinata
Opisthoxia phrynearia
Oxydia affinis
Neotherina xanthosa
Hygrochroma nondina
Evita perpectinata
Eusarca trifilaria
Eusarca nemora
Eusarca minucia
Eusarca mera
Eusarca melenda
Eusarca fundaria
Eusarca flexilis
Eusarca distycharia
Eusarca deoia
Eusarca demoleon
Eusarca crameraria
Eusarca cayennaria
Eusarca asteria
Destutia modica
Costalobata picturata
Catacrismia hirsutaria
Cartellodes levis
Hygrochroma olivinaria
Nepheloleuca politia
Isochromodes bellona
Isochromodes carbina
Neotherina imperilla
Neotherina callas
Leuculopsis unifasciata
Leucula planivena
Leucula orates
Leucula meganira
Leucula lucidaria
Leucula festiva
Leucula circumdata
Leucula cachiaria
Lambdina fiscellaria
Isochromodes sheila
Isochromodes phyllira
Isochromodes infida
Isochromodes granula
Isochromodes fraterna
Isochromodes extimaria
Isochromodes epioneata
Isochromodes chiron
Isochromodes brumosa
Sabulodes ornatissima
Opisthoxia saturniaria
Palyas micacearia
Periclina merana
Periclina apricaria
Pantherodes unciaria
Neodora tambilaria
Nematocampa straminea
Nematocampa reticulata
Nematocampa completa
Nematocampa arenosa
Mimosema sobrina
Mimomma ochriplaga
Microxydia ruficomma
Microxydia orsitaria
Melinodes cuprina
Himeromima aulis
Herbita valtrudaria
Herbita ulpianaria
Herbita tenebrica
Herbita reducta
Herbita praeditaria
Periclina syctaria
Herbita nedusia
Phyllodonta alajuela
Phyllodonta cataphracta
Sabulodes loba
Sabulodes colombiata
Sabulodes bilineata
Rhomboptila conscripta
Rhomboptila brantsiata
Prochoerodes tetragonata
Prochoerodes striata
Prochoerodes pilosa
Prochoerodes onustaria
Prochoerodes marciana
Prochoerodes cristata
Polla hemeraria
Phyllodonta timareta
Phyllodonta timais
Phyllodonta succedens
Phyllodonta latrata
Phyllodonta indeterminata
Phyllodonta flabellaria
Phyllodonta druciata
Phyllodonta angulosa
Opisthoxia uncinata
Herbita medona
Herbita lilacina
Anisoperas atropunctaria
Trotogonia castraria
Pyrinia transitata
Pyrinia selecta
Pyrinia sanitaria
Pyrinia rutilaria
Pyrinia punctilinea
Pyrinia optivata
Pyrinia megara
Pyrinia itunaria
Pyrinia helvaria
Pyrinia divalis
Acrotomodes chiriquensis
Acrotomodes bola
Acrotomia viminaria
Pityeja histrionaria
Phrygionis privignaria
Phrygionis polita
Phrygionis platinata
Anisoperas subfulvata
Herbita medama
Anisoperas tessellata
Brachurapteryx tesserata
Herbita extranea
Herbita cyclopeata
Herbita amicaria
Herbita aglausaria
Euclysia maculata
Euclysia dentifasciata
Euclysia columbipennis
Euclysia angustitincta
Erosina hyberniata
Cyphoedma transvolutata
Cimicodes subapicata
Cimicodes purpurea
Cimicodes ferruginea
Cimicodes clisthena
Cimicodes albicosta
Certima turmalis
Certima planaria
Certima dositheata
Certima annaria
Apiciopsis oberthuri
Eois cedon
Eois cellulata
Eois citriaria
Semaeopus tertullus
Semaeopus tergilinea
Semaeopus subtincta
Semaeopus semibrunnea
Semaeopus scriptilinea
Semaeopus sabuloides
Semaeopus redundata
Semaeopus permanata
Semaeopus peplumaria
Semaeopus orbona
Semaeopus nisa
Semaeopus miniata
Semaeopus micipsa
Semaeopus masinissa
Semaeopus marginata
Semaeopus ladrilla
Semaeopus illimitata
Semaeopus fuscicosta
Semaeopus fulvescens
Semaeopus trophinus
Semaeopus exquisitata
Semaeopus varia
Smicropus intercepta
Leptostales hepaticaria
Leptostales hegeter
Leptostales delila
Leptostales crossii
Leptostales angulata
Crypsityla quinquelineata
Acratodes praepeditaria
Tricentra vinosata
Tricentra unimacula
Tricentra quadrigata
Tricentra gavisata
Tricentra fumata
Tricentra euriopis
Tricentra benevisio
Tricentra ascantia
Ametris nitocris
Proutoscia mirifica
Haemalea partita
Smicropus laeta
Semaeopus viridiplaga
Leptostales pannaria
Semaeopus dentilinea
Semaeopus caparonensis
Ergavia carinenta
Almodes terraria
Xanthorhoe zenasaria
Xanthorhoe politula
Xanthorhoe lucasaria
Xanthorhoe cyane
Xanthorhoe apollosaria
Orthonama flavillacea
Orthonama dryasaria
Orthonama discataria
Orthonama corteza
Disclisioprocta stellata
Heterusia dividata
Triphosa gavara
Obila pannosata
Psaliodes tripita
Psaliodes sutum
Psaliodes subochreofusa
Psaliodes simplex
Ergavia merops
Semaeopus ciliata
Macrotes commatica
Cyclophora coecaria
Semaeopus caecaria
Semaeopus bimacula
Hemipterodes subrotundata
Hemipterodes subnigrata
Hemipterodes rotundata
Hemipterodes divaricata
Cyllopoda jatropharia
Atyria commoda
Trygodes viridiplena
Trygodes solaniferata
Trygodes niobe
Trygodes musivaria
Trygodes amphion
Pleuroprucha rudimentaria
Pleuroprucha hypoxia
Pleuroprucha asthenaria
Dithecodes distracta
Cyclophora stella
Cyclophora semirosea
Macrotes cordovaria
Psaliodes semisecta
Leptostales pulida
Leptostales vitticostata
Antipastis xylophragma
Cotaena plenella
Tricentrogyna violescens
Tricentrogyna vinacea
Tricentrogyna subfuscicosta
Tricentrogyna priscilla
Tricentrogyna praecellens
Tricentrogyna flexivitta
Tricentrogyna deportata
Tricentrogyna colligata
Ptychamalia grisescens
Ptychamalia cumana
Lophosis labeculata
Lophochorista calliope
Lobocleta tenellata
Lobocleta subcincta
Lobocleta mutuataria
Lobocleta malvina
Lobocleta griseolimbata
Glyphipterix palpella
Lobocleta flavistigma
Eucosmophora atlantis
Eucosmophora pouteriae
Macrosoma intermedia
Macrosoma hyacinthina
Macrosoma heliconiaria
Macrosoma costilunata
Macrosoma conifera
Macrosoma cascaria
Macrosoma bahiata
Macrosoma amaculata
Macrosoma albida
Phyllocnistis tropaeolicola
Phyllocnistis trichiliae
Phyllocnistis meliacella
Phyllocnistis maxberryi
Phyllocnistis drimiphaga
Phyllocnistis citrella
Neurostrota gunniella
Macrosaccus gliricideae
Chileoptilia yaroella
Caloptilia perseae
Eucosmophora ingae
Leptostales subrubella
Idaea zoalma
Idaea ustimargo
Idaea contractalis
Idaea complexaria
Idaea celtima
Idaea caudata
Idaea balmata
